TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,CFID,CFPARAMS,Season
1610612750,Minnesota Timberwolves,50,25,25,0.5,2405.0,98.5,98.2,0.4,0.663,1.9,18.2,0.325,0.702,0.499,0.136,0.439,0.481,94.12,0.493,1,17,17,17,27,17,10,16,5,1,3,6,12,15,1,25,27,4,18,10,Minnesota Timberwolves,1998-99
1610612751,New Jersey Nets,50,16,34,0.32,2410.0,96.3,100.6,-4.4,0.546,1.23,14.4,0.311,0.697,0.494,0.158,0.434,0.485,94.34,0.466,1,25,25,25,19,25,21,25,26,24,27,9,17,18,5,28,26,3,24,10,New Jersey Nets,1998-99
1610612752,New York Knicks,50,27,23,0.54,2420.0,96.2,94.3,1.9,0.598,1.2,16.0,0.279,0.71,0.502,0.179,0.463,0.509,89.46,0.515,1,13,13,13,10,26,3,13,17,25,21,24,5,13,27,17,16,24,13,10,New York Knicks,1998-99
1610612753,Orlando Magic,50,33,17,0.66,2410.0,96.7,95.3,1.4,0.632,1.3,16.7,0.326,0.708,0.514,0.177,0.456,0.498,91.45,0.519,1,4,4,4,19,22,6,14,8,21,14,5,7,7,25,20,22,17,10,10,Orlando Magic,1998-99
1610612755,Philadelphia 76ers,50,28,22,0.56,2430.0,96.8,94.6,2.2,0.564,1.14,14.8,0.342,0.698,0.516,0.178,0.439,0.494,91.43,0.518,1,11,11,11,5,21,4,12,25,26,26,2,16,6,26,24,24,18,11,10,Philadelphia 76ers,1998-99
1610612756,Phoenix Suns,50,27,23,0.54,2410.0,103.4,99.9,3.5,0.695,1.83,19.3,0.284,0.698,0.487,0.147,0.481,0.526,92.56,0.529,1,13,13,13,19,3,16,6,3,2,1,22,15,22,3,8,9,7,5,10,Phoenix Suns,1998-99
1610612757,Portland Trail Blazers,50,35,15,0.7,2435.0,101.4,94.9,6.6,0.614,1.39,16.8,0.318,0.718,0.525,0.165,0.473,0.521,92.05,0.556,1,3,3,3,4,9,5,3,12,12,13,8,3,2,11,13,11,12,4,10,Portland Trail Blazers,1998-99
1610612758,Sacramento Kings,50,27,23,0.54,2440.0,99.9,100.0,-0.1,0.589,1.34,16.5,0.306,0.677,0.493,0.168,0.479,0.514,98.77,0.494,1,13,13,13,1,14,17,17,20,15,18,11,26,20,15,12,14,1,16,10,Sacramento Kings,1998-99
1610612759,San Antonio Spurs,50,37,13,0.74,2415.0,101.3,92.1,9.2,0.633,1.45,17.5,0.304,0.695,0.511,0.166,0.479,0.523,91.23,0.582,1,1,1,1,13,10,1,1,7,6,6,16,19,9,13,11,10,20,2,10,San Antonio Spurs,1998-99
1610612760,Seattle SuperSonics,50,25,25,0.5,2420.0,101.8,103.3,-1.6,0.619,1.42,16.9,0.319,0.686,0.5,0.164,0.481,0.519,92.26,0.49,1,17,17,17,10,8,26,18,11,9,11,7,25,14,10,9,13,8,19,10,Seattle SuperSonics,1998-99
1610612761,Toronto Raptors,50,23,27,0.46,2415.0,98.8,100.5,-1.7,0.624,1.3,16.3,0.338,0.702,0.518,0.173,0.45,0.504,91.71,0.489,1,19,19,19,13,16,20,19,10,22,20,3,11,4,21,22,18,13,20,10,Toronto Raptors,1998-99
1610612762,Utah Jazz,50,37,13,0.74,2435.0,102.7,95.5,7.2,0.715,1.48,19.1,0.3,0.704,0.517,0.179,0.485,0.545,89.56,0.591,1,1,1,1,2,4,7,2,1,4,2,18,9,5,28,7,2,23,1,10,Utah Jazz,1998-99
1610612763,Vancouver Grizzlies,50,8,42,0.16,2435.0,95.4,105.1,-9.6,0.586,1.14,15.4,0.309,0.669,0.486,0.182,0.447,0.498,91.63,0.427,1,29,29,29,2,27,27,27,22,27,24,10,28,23,29,23,21,14,27,10,Vancouver Grizzlies,1998-99
1610612764,Washington Wizards,50,18,32,0.36,2410.0,98.3,101.0,-2.7,0.602,1.45,16.9,0.282,0.695,0.484,0.159,0.468,0.507,92.24,0.476,1,24,24,24,19,18,23,22,15,7,12,23,20,25,7,15,17,9,21,10,Washington Wizards,1998-99
1610612737,Atlanta Hawks,82,28,54,0.341,3966.0,99.2,104.8,-5.7,0.516,1.22,14.7,0.317,0.71,0.513,0.162,0.46,0.503,94.41,0.462,1,25,25,25,7,24,25,26,28,26,28,2,17,6,18,25,25,22,25,10,Atlanta Hawks,1999-00
1610612738,Boston Celtics,82,35,47,0.427,3946.0,102.0,103.0,-1.0,0.57,1.38,16.1,0.304,0.738,0.51,0.158,0.474,0.52,97.06,0.476,1,19,19,19,26,13,19,19,22,19,22,7,1,7,11,19,19,8,22,10,Boston Celtics,1999-00
