TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,STL,BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,STL_RANK,BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,CFID,CFPARAMS,Season
1610612738,Boston Celtics,50,19,31,0.38,48.6,99.7,29.2,0.694,9.1,5.1,18.2,14.8,14.5,42.4,1,22,22,22,7,15,13,21,4,15,27,25,26,24,10,Boston Celtics,1998-99
1610612766,Charlotte Hornets,50,26,24,0.52,48.6,99.2,29.9,0.695,8.9,4.9,18.3,13.8,13.8,37.7,1,16,16,16,5,13,10,18,9,16,28,20,24,16,10,Charlotte Hornets,1998-99
1610612741,Chicago Bulls,50,13,37,0.26,48.3,100.1,27.9,0.717,8.7,3.4,17.7,11.9,12.6,38.6,1,27,27,27,18,19,23,4,12,29,24,2,15,19,10,Chicago Bulls,1998-99
1610612739,Cleveland Cavaliers,50,22,28,0.44,48.2,98.5,26.3,0.69,9.0,4.1,17.0,13.8,11.4,35.7,1,20,20,20,19,11,28,24,5,23,20,19,8,12,10,Cleveland Cavaliers,1998-99
1610612742,Dallas Mavericks,50,19,31,0.38,48.3,102.2,29.6,0.691,7.0,5.8,15.7,13.5,13.2,39.3,1,22,22,22,16,25,12,23,26,4,7,16,21,22,10,Dallas Mavericks,1998-99
1610612743,Denver Nuggets,50,14,36,0.28,48.1,106.8,27.8,0.692,7.5,5.5,16.2,13.6,13.0,44.4,1,26,26,26,27,28,25,22,25,8,12,17,18,27,10,Denver Nuggets,1998-99
1610612765,Detroit Pistons,50,29,21,0.58,48.2,97.9,28.2,0.72,8.9,4.2,16.0,12.0,10.5,31.1,1,10,10,10,26,9,21,2,6,22,8,3,6,2,10,Detroit Pistons,1998-99
1610612744,Golden State Warriors,50,21,29,0.42,48.5,98.7,31.2,0.704,8.3,4.4,16.3,13.4,10.4,38.6,1,21,21,21,8,12,4,8,17,20,15,15,4,20,10,Golden State Warriors,1998-99
1610612745,Houston Rockets,50,31,19,0.62,48.3,100.1,30.8,0.699,7.7,5.2,17.3,13.8,12.4,37.6,1,7,7,7,13,18,5,14,24,13,22,18,13,15,10,Houston Rockets,1998-99
1610612754,Indiana Pacers,50,33,17,0.66,48.4,101.0,29.0,0.699,6.3,4.5,13.9,12.5,13.2,34.0,1,4,4,4,10,22,14,13,29,19,1,6,21,8,10,Indiana Pacers,1998-99
